questionid	existing_question_id	questiontype	totalanswers	question	questionImage	answer1	answer1Image	answer2	answer2Image	answer3	answer3Image	answer4	answer4Image	answer5	answer5Image	correctanswer	hint	hintImage	difficultylevel	question_type	status	worksheet_id	assigned_worksheet_ids	topic	attempt_counter	section_name	section_marks	section
65477	0	<p>SingleAnswer</p>	4	<div>On what factors does the heat generated in a conductor depend upon?</div> <p>&nbsp;</p>		<p>Directly proportional to the time</p>		<p>Inversely proportional to the time</p>		<p>Directly proportional to the density</p>		<p>Inversely proportional to the mass</p>				a	<p>H = I<sup>2</sup>Rt</p>				Active	S10ELEKUS22		N	0		1	
66259	0	SingleAnswer	4	<p>Growing children need more _______________ containing foods.</p>		<p>carbohydrate</p>		<p>fat</p>		<p>protein</p>		<p>mineral</p>		I		c	<p>Proteins are bodybuilding food items. Growing children need more protein-containing foods.</p>				Active	S03FOOPAL21		N	0		1	
66631	0	SingleAnswer	4	<p>How many days does the moon take to go around the earth?</p>		<p>24 days</p>		<p>26 days</p>		<p>27.3 days</p>		<p>30 days</p>		F		c					Active	S04EARBHU22		N	0		1	
68266	68266	<p>SingleAnswer</p>	4	<p>Why can't one see the flame of a candle when one looks through a bent straw?</p>		<p>Circular propagation of light</p>		<p>Hyperbolic propagation of light</p>		<p>Transverse propagation of light</p>		<p>Rectilinear propagation of light</p>				d	<p>You can see the flame only when the straw is straight because light travels in straight lines. Travelling in a straight line is known as rectilinear motion.</p>		High		Active	S06LIGPAL11		Light, Shadows and Reflections	0		1	
69136	0	SingleAnswer	4	Just start in to sing as you..		tackle the thing That cannot be done, and you’ll not do it.		tackle the thing That can be done, and you'll do it.		tackle the thing That cannot be done, and you'll do it.		tackle the thing That will be done, and you'll do it.				c	Just start in to sing as you tackle the thing That cannot be done, and you'll do it.			"Complete the following line after reading the poem: Somebody said that it couldn't be done, But he with a chuckle replied That maybe it couldn't, but he would be one Who wouldn't say so ""till he tried."" So he buckled right in with the trace of a grin on his face. If he worried, he hid it. He started to sing as he tackled the thing That couldn't be done, and he did it. Somebody scoffed: ""Oh, you'll never do that; At least no one ever has done it."" But he took off his coat and took off his hat And the first thing he knew he'd begun it. With the lift of his chin and a bit of a grin, Without any doubting or quiddity, He started to sing as he tackled the thing That couldn't be done, and he did it. There are thousands to tell you it cannot be done, There are thousands to prophesy failure; There are thousands to point out to you, one by one, The dangers that wait to assail you. But just buckle right in with a bit of a grin, Then take off your coat and go to it; Just start in to sing as you tackle the thing That cannot be done, and you'll do it. Edgar A. Guest"	Active	E04COMARC41		N	0		1	
70635	0	SingleAnswer	4	This is __ itchy short.		a		an		the		None of the above				b	vowel sound				Active	E05ARTVIM22		N	0		1	
73671	0	SingleAnswer	4	"I'm afraid of flying. ""                                    He told me he ____ afraid of flying."		k		a		c		b				a				Complete the given sentences using the words/phrases given below only.   a.  Could                                b. Going                                c. Had flown                            d. hadn't seen                          e. If i was                                f. Liked                                   g. Not sitting                               h. Not to stay                           i. To take                                   j. Took                                  k. Was                                   l. Was wearing                             m. What happened                           n. Would be	Active	E06REPYES21		N	0		1	
74223	0	SingleAnswer	4	Which menu contains commands associated with My Computer?		System Menu		Start Menu		Horse Menu		Cmd				a	System menu contains commands associated with Mycomputer.				Active	C04WINUDA31		N	0		1	
74407	74407	SingleAnswer	4	----------- stores information.		Folders		Toolbar		Taskbar		Files				d	A file can also be called folder, portfolio etc.				Active	C05WINJYO11		Windows 7	0		1	
75849	0	SingleAnswer	4	<p>From the following options, choose the correctly punctuated sentence.</p>		<p>I hear she's a good pianist. I myself have never hear her, but she's shy about playing in public.</p>		<p>I hear shes a good pianist I myself have never heard her &ndash; but shes shy about playing in public.</p>		<p>I hear shes' a good pianist &ndash; I myself have never heard her &ndash; but shes' shy about playing in public.</p>		"<p>I hear she&rsquo;s a good pianist "" I myself have never heard her"" but she&rsquo;s shy about playing in public.</p>"				a					Active	E09JUMSHE22		N	0		1	
76110	0	SingleAnswer	4	HOPE: ASPIRES		Film: flam		Fib: lie		Fake: ordinary		Love: elevates				b				Each question consists of two words which have a certain relationship with each other followed by four pairs of related words. Select the pair which has the same relationship.	Active	E09ANAYES21		N	0		1	
78844	0	<p>SingleAnswer</p>	4	<p>The AP 2, 8, 14, 20 &hellip; has 888 terms. What is the 23rd term from the end of this AP?</p>		<p>5292</p>		<p>5192</p>		<p>5392</p>		<p>5492</p>				b					Active	M10ARIVIM11		N	0		1	
80911	0	SingleAnswer	4	The top view of a bottle is circular and front view is rectangular. What would be the possible shape of the bottle?			M03GEOJAY22q40a.png		M03GEOJAY22q40b.png		M03GEOJAY22q37d.png		M03GEOJAY22q40d.png			b	Bottle will look like:	M03GEOJAY22q40b.png			Active	M03GEOJAY22		N	0		1	
81623	0	SingleAnswer	4	<p>4:15&nbsp;pm</p>		<p>18:15</p>		<p>16:15</p>		<p>15:15</p>		<p>17:15</p>				b				<p>Change 12-hour clock to 24-hour clock:</p>	Active	M03TIMRAS21		N	0		1	
82187	82187	<p>SingleAnswer</p>	4	<p>Find the perimeter of the&nbsp;shape given below. In rectangle ABCD, AB = 20 cm and BC = 14 cm. The&nbsp;perimeter of the circle AEDF is 22 cm.</p>	M04PERJYA12q29.png	<p>57 cm</p>		<p>65 cm</p>		<p>68 cm</p>		<p>None of the above</p>				d	<p>Perimeter of shape= AB + BC + CD + perimeter of circle</p> <p>P= 20 + 14 + 20 + 22= 76 cm</p>				Active	M04PERPAR21		Perimeter of Various Shapes	0		1	
82497	0	SingleAnswer	4	<p>Solve:</p> <p>(4/2) &divide; (8/2) &divide; (16/2)</p>		<p>4</p>		<p>1/4</p>		<p>1/16</p>		<p>1/2</p>				c	<p>(4/2) &divide; (8/2) &divide; (16/2) = (4 x 2 x 2)/(2 x 8 x 16) = 1/16</p>				Active	M05FRAPAR12		N	0		1	
83565	0	<p>SingleAnswer</p>	4	<p>Diameter of a circle is twice the radius. Find radius in terms of diameter. (Assume diameter to be d)</p>		<p>d - 2</p>		<p>2 + d</p>		<p>2d</p>		<p>d/2</p>				d	<p>radius is half of the diameter= d/2</p>				Active	M06ALGJAY11		N	0		1	
83679	0	<p>SingleAnswer</p>	4	<p>Find an expression for the given case, h is divided by 5 and added to 7.</p>		<p>7 - (h/5)</p>		<p>7 - 5h</p>		<p>7 + (h/5)</p>		<p>5h - 7</p>				c	<p>h is divided by 5=(h/5), is added to 7 = 7 + (h/5)</p>				Active	M06ALGJAY12		N	0		1	
84163	0	SingleAnswer	4	<p>Find an equivalent fraction of 5&nbsp;<sup>2</sup>/<sub>3</sub>.</p>		<p>5 <sup>5</sup>/<sub>17</sub></p>		<p>5 <sup>10</sup>/<sub>21</sub></p>		<p>5 <sup>14</sup>/<sub>21</sub></p>		<p>None of these</p>		C		c	<p>&nbsp;5&nbsp;<sup>2</sup>/<sub>3</sub>&nbsp;= 17/3<br />5&nbsp;<sup>14</sup>/<sub>21</sub> = 119/21 = 17/3</p>				Active	M06FRASUR11		N	0		1	
88399	0	SingleAnswer	4	<p>Output of XML document can be viewed in a ____________.</p>		<p>Word Processor</p>		<p>Web browser</p>		<p>Notepad</p>		<p>None</p>		F		b	<p>Output of XML document can be viewed in a web browser.</p>				Active	C10HTMAPA11		N	0		1	
88603	0	SingleAnswer	4	Which of the following networks is built on top of the other network?		Prior Network		Chief Network		Overlay Network		Prime Network				c					Active	C05NETJYO11		N	0		1	
89001	0	SingleAnswer	4	A ________receives a signal and, before it becomes too weak or corrupted, regenerates the original bit pattern. It then sends the refreshed signal? 		Passive hub		Bridge		Repeater		Router				c	Solution: A repeater receives a signal and before it becomes too weak or corrupted, regenerates the original bit pattern. It then sends the refreshed signal.				Active	C08NETSRU11		N	0		1	
89587	89587	SingleAnswer	4	<p>Which tool is used to draw thin, free form lines or curves?</p>		<p>Pencil</p>		<p>Airbrush</p>		<p>Brush</p>		<p>Text</p>		F		a	<p>The&nbsp;Pencil Tool&nbsp;is used to draw a single pixel at a time. Dragging the&nbsp;Pencil Tool&nbsp;creates a one pixel wide line. Using the&nbsp;Pencil Tool&nbsp;with the Left Mouse button draws the pixel using the Primary Color.</p>				Active	C05MIXMEG11		Cyber	0		1	
92793	0	SingleAnswer	4	<p>The _____ are a symbol of the high culture of dynastic ancient Egypt.</p>		<p>Pyramids</p>		<p>Minars</p>		<p>Forts</p>		<p>Palace</p>				a	<p>The pyramids are a symbol of the high culture of dynastic ancient Egypt.</p>				Active	G03HISVIS12		N	0		1	
92952	0	SingleAnswer	4	<p>Identify the famous personality.</p>	G04ONCAMI12q39.png	<p>Aung San Suu Kyi&nbsp;</p>		<p>Sarojini Naidu</p>		<p>Indira Gandhi</p>		<p>Mamta Banerjee</p>				a	<p>The lady in the picture is Aung San Suu Kyi&nbsp;.</p>				Active	G04ONCAMI12		N	0		1	
93001	0	SingleAnswer	4	<p>Which monument was built by the Mughal emperor Akbar?</p>		<p>Qutub Minar</p>		<p>Red Fort</p>		<p>Charminar</p>		<p>Fatehpur Sikri</p>				d	<p>Fatehpur Sikri was built by Mughal emperor Akbar.</p>				Active	G04INMSAN12		N	0		1	
93809	0	SingleAnswer	4	What is the currency of Australia?		Australian Franc		Shilling		Australian Dollar		Euro				c	The currency of Australia is Australian dollar.				Active	G06CURRIT12		N	0		1	
94381	0	SingleAnswer	4	To which of the following dynasties did King Bhoja, a great patron of literature and art, belong?		Karkota		Utpala		Paramara		Gurjara Pratihara				c	King Bhoja, a great patron of literature and art belonged to Paramara.				Active	G06INHTEJ12		N	0		1	
94742	0	SingleAnswer	4	Filmfare awards started from the year?		1952		1964		1954		1960				c	The Filmfare Awards are presented annually by The Times Group to honour both artistic and technical excellence of professionals in the Hindi language film industry of India. 				Active	G07FILMON11		N	0		1	
95004	0	SingleAnswer	4	<p>Where was the first Post Office opened in India?</p>		<p>Bombay</p>		<p>Mumbai</p>		<p>Gujarat</p>		<p>Bhopal</p>				a	<p>The first post office in India was established by British East India company in&nbsp;<strong>Bombay</strong>&nbsp;in 1764.</p>				Active	G07FIISHR12		N	0		1	
96329	0	SingleAnswer	4	<p>NPC Stands for?</p>		<p>National Political Conference</p>		<p>National Political Council</p>		<p>National Productivity Committee</p>		<p>National Productivity Council</p>				d	<p>National Productivity Council NPC&nbsp;is a national level organization to promote productivity culture in India. Established as a registered society in 1958 by the Government of India</p>				Active	G08ABBMON11		N	0		1	
97562	0	SingleAnswer	4	Reign of Terror during French Revolution ended in _____.		1795		1788		1790		1794				d	Reign of Terror ended in 1794.				Active	G09FREDIV11		N	0		1	
98381	0	SingleAnswer	4	<p>Which specialized agency of UNO lists World Heritage Sites?</p>		<p>UNESCO</p>		<p>UNEF</p>		<p>WWF</p>		<p>UNWTO</p>				a	<p>The United Nations Educational, Scientific and Cultural Organization (UNESCO) is a specialized agency of the United Nations (UN) that is responsible for listing World Heritage Sites.</p>				Active	G09UNOUZM12		N	0		1	
100278	100304	SingleAnswer	4	What kind of food do we get from a cow?		Milk		Nectar		Water		Mushroom				a	Cow gives milk which is a vital nutritious food for us.				Active	S03MIXAIS21		Science	0		1	
100898	100898	SingleAnswer	4	<p>Which among following can be a vertical separation between columns?</p>		<p>Margin</p>		<p>Header</p>		<p>Orientation</p>		<p>Gutter</p>		C		a					Active	C05MIXAPO11		Cyber	0		1	
101258	101258	<p>SingleAnswer</p>	4	<p>Change the form to active/passive. He did not give up the fight even though he was badly bruised.</p>		<p>The fight did not give up by him even though he was badly bruised.</p>		<p>The fight had not given up by him even though he was badly bruised.</p>		<p>The fight was not given up by him even though he was badly bruised.</p>		<p>The fight was not being given up by him even though he was badly bruised.</p>				c					Active	E06MIXABH11		English	0		1	
102215	102238	<p>SingleAnswer</p>	4	<p>Which of the following is true about vitamin K?</p>		<p>It helps the blood to clot in case of wounds and prevents bleeding.</p>		<p>It supplies energy</p>		<p>It increase appetite</p>		<p>None of these</p>				a					Active	S04MIXABH61		Science	0		1	
102675	102732	SingleAnswer	4	<p>Which one of the following part of a plant has a petiole?</p>	S04MIXVAR51q5-7.png	<p>3</p>		<p>4</p>		<p>5</p>		<p>1</p>				a	<p>The leaf has a petiole, which connects the blade to the axle.</p>				Active	S04MIXABH91		Science	0		1	
103243	103243	SingleAnswer	4	<p>What is the greatest 3-digits number formed by using 7, 6 and 4?</p>		<p>751</p>		<p>764</p>		<p>741</p>		<p>None of these</p>				b					Active	M04MIXGOR81		Maths	0		1	
104238	104248	SingleAnswer	4	<p>Read the clues given below and choose the option that corresponds to these clues.</p> <p>Clue 1: It has no colour.</p> <p>Clue 2: It has no taste or odour.</p> <p>Clue 3: It is a radioactive noble gas.</p> <p>Clue 4: It contributes to air pollution</p>		<p>Carbon</p>		<p>Sulphur</p>		<p>Radon</p>		<p>Xenon</p>				c	<p>The given clue are about 'radon.'.</p>				Active	S08MIXMAN21		Science	0		1	
104427	104437	SingleAnswer	4	<p>Crop plants may be attacked by pests which affect crop production.&nbsp; Fungi are such type of pests which causes diseases like ______________.</p>		<p>Smut of wheat</p>		<p>Citrus canker</p>		<p>Blight of potato</p>		<p>Both a and c</p>				d	<p>Loose smut and blight of potato are caused by fungi. Citrus cranker is a bacterial disease.&nbsp;</p>				Active	S08MIXMAN61		Science	0		1	
105106	105104	SingleAnswer	4	<p>Choose the&nbsp;number which is the factor of every number on the real number line:</p>		<p>0</p>		<p>1</p>		<p>2</p>		<p>3</p>		F		b	<p>Every number can be divided by 1.</p>				Active	M05MIXGOR41		Maths	0		1	
110160	110160	<p>SingleAnswer</p>	4	<p>The circumference of a circle is given to be 8&pi; cm. Find the area of this circle.</p>		<p>8&pi; sq.cm</p>		<p>16&pi;&nbsp;sq.cm</p>		<p>24&pi;&nbsp;sq.cm</p>		<p>None of these</p>		F		b	<p>First find the radius of the circle through the formula for the circumference of the circle. Then find the area of the circle through the formula of the area of the circle.</p>				Active	M06MIXGOR51		Maths	0		1	
111589	111589	SingleAnswer	4	Choose the correct meaning of proverb/idiom. You will not slip over because the floor is as dry as a bone.		completely hard		extremely flat		totally dry		completely cracked				c					Active	E09MIXJAY51		English	0		1	
113221	113221	SingleAnswer	4	Under which submenu of Insert menu is the below mention image available?	C07MIXJYO31q50.png	Tables		Text		Symbol		Link				b					Active	C07MIXJYO31		Cyber	0		1	
115135	115145	SingleAnswer	4	<p>Which of the following is/are not always necessary to observe a shadow?</p> <ol> <li>Sun&nbsp;</li> <li>Screen</li> <li>Source of light</li> <li>Opaque object</li> </ol>		<p>Only 1</p>		<p>Only 2</p>		<p>Both 1 and 3</p>		<p>Both 1 and 2</p>				a	<p>Any source of light can be used to produce a shadow whether it is sun or any man-made source of light like electric bulb.</p>				Active	S06MIXABH11		Science	0		1	
116954	116954	<p>SingleAnswer</p>	4	<p>Which of the following is not the property of the square?</p>		<p>each angle of the square is right angle</p>		<p>the diagonals of the square are not equal</p>		<p>the sides of a square are equal</p>		<p>the diagonals of a square bisect each other at right angle</p>				b					Active	M08MIXAPO51		Maths	0		1	
118050	0	SingleAnswer	4	Hence__ I conclude this lecture.		?		.		!		,				d				Select the proper punctuation for the following blanks.	Active	E03CONYES11		N	0		1	
118586	118586	SingleAnswer	4	Select the word that closely fits the given definition: The foolish belief that one is God.		Kleptomania		Schizophrenia		Theomania		Hypochondria				c					Active	E09MIXPEA21		English	0		1	
119187	0	SingleAnswer	4	She has walked eight kilometres ___ she did not feel tired.		yet		lest		even though		but				a	"Here, ""yet"" is the correct answer as it shows an unexpected condition."				Active	E05CONPRI11		N	0		1	
119617	0	SingleAnswer	4	_______ of these dishes do you prefer?		What		Which		How		When				b	'Which' is used to make a choice between different objects.			Choose appropriate interrogative pronoun for the following sentences.	Active	E06PROSAK22		N	0		1	
120016	120016	SingleAnswer	4	<p>The exams ________________ due to curfew in the region.</p>		<p>have been postponed</p>		<p>are being postponed</p>		<p>are postponed</p>		<p>were postponed</p>				a	<p>The sentence takes the present perfect tense.</p>		0	<p>Fill in the blank with the correct form of present perfect tense.</p>	Active	E08TENPRI11		Tenses	0		1	
120367	0	SingleAnswer	4	<p>________________ the alarm goes off, I will get ready for the school.</p>		<p>As soon as</p>		<p>Now</p>		<p>Before</p>		<p>After</p>				a	<p>Immediately when the alarm goes off, I will get ready daily. So, 'as soon as' is used.</p>		0	<p>Fill in the blank with subordinating conjunction:</p>	Active	E08CONSAK21		N	0		1	
120768	0	SingleAnswer	4	<p>She tried to lose 4 kg ________________ one month.</p>		<p>at</p>		<p>to</p>		<p>on</p>		<p>in</p>				d	<p>'In' is used for unspecific times during a day, month, season or year. Here, it is around a month not exactly 1 month.</p>		0	<p>Choose the appropriate preposition to complete the sentence:</p>	Active	E08PRESAK11		N	0		1	
121066	0	SingleAnswer	4	(a) a victim/ (b) of bad habits/ (c ) often become/ (d) poor children		a		b		c		d				a	Poor children often become the victim of bad habits.			Which phrase would come third when rearranged to form a meaningful sentence:	Active	E10JUMPPRI21		N	0		1	
123226	0	<p>SingleAnswer</p>	4	<p>An iron ball at 60<sup>o</sup>C is dropped in a mug containing water at 60<sup>o</sup>C. The temperature of water ______.</p>		<p>slightly increase</p>		<p>decrease</p>		<p>remain same</p>		<p>increase</p>				c					Active	S07HEAVAN12		N	0		1	
123828	123788	SingleAnswer	4	<p>Figure (Z) shows the manner in which the folded paper has been cut. These three figures are followed by four answer figures from which you have to choose a figure which would most closely resemble the unfolded form of figure (Z).</p>	L06PAPVYS11q12.png	<p>a</p>		<p>b</p>		<p>c</p>		<p>d</p>				c				<p>The following question consists of a set of three figures X, Y and Z showing a sequence of folding of a piece of paper:</p>	Active	S06MIXHEM41		Critical thinking	0		1	
124804	124804	SingleAnswer	4	<p>Which android version is this?</p>	C09MIXTEJ21q14.png	<p>Cupcake</p>		<p>IceCream Sandwich</p>		<p>Froyo</p>		<p>Donut</p>		F		b	"<p>Android 4.0&ndash;4.0.4 ""Ice Cream Sandwich"" is a discontinued version of the Android mobile operating system developed by Google.</p>"				Active	C09MIXTEJ21		Cyber	0		1	
140512	0	SingleAnswer	4	The famous character 'Pickwick' was created by		Steven Spielberg		Leo Tolstoy		Walt Disney		Charles dickens				d	The famous character 'Pickwick' was created by Charles dickens.				Active	G06BOOTEJ11		N	0		1	
